OBJECTID	UIDIS05	UIDIS06	MPDDIS05	MPDDIS06	VACANTPERCENT	STATE_FIPS	TRACT	BLKGRP	POP2000	POP2004	POP00_SQMI	POP04_SQMI	WHITE	BLACK	ASIAN	HISPANIC	AGE_UNDER5	AGE_5_17	AGE_18_21	AGE_22_29	AGE_30_39	AGE_40_49	AGE_50_64	AGE_65_UP	VACANT	SQMI	SHAPE_LENG	SHAPE_AREA	STFID	PSA	UNEMPL	POV	SAMEHOUSE	PROFMAN	MALE	FEMALE	YOUNGPOP	YOUNGUNEMP	CONCDIS	RESSTAB	PROSOCIAL	METRO_BG	PUBHOUSPT	REC_BG	OFFPREM_BG	ONPREM_BG	STORE_BG	NIGHT_BG	TAVERN_BG	REST_BG	PHYSDIS0506	PHYSDIS0203	AVGDV	SCH_BG	AVGMPDDIS	AVGUIDISOR	AVGADW0506	AVGADW0001	RESIDENTIALCOUNT	RETAILCOUNT	MOTELHOTELCOUNT	RECREATIONCOUNT	VACANTCOUNT	METRODUMMY	PUBHOUSINGDUMMY	COMRETAILPERCENT	RATE18_29	ADWWEEKEND	ADWNIGHTS	ADWWEEKNIGHT	INVMILEDIST	STREETLIGHTDENSI	OFF_SQMI	ON_SQMI	NIGHT_SQMI	TAVERN_SQMI	STORE_SQMI	REST_SQMI	STLIGHT_SQMI	BUSSTOP_SQMI	PROSO_SQMI	HOMLESS_SQMI	DVWEEKEND	DVENDNIGHT	DVWEEKNIGHT	UIWEEKNIGH	UIENDNIGHT	UIWEEKEND	MPDWEEKNIG	MPDWENDNIG	MPDWEEKEND	NO_SINGLES	NOTALLOWS_SQMI	ALLOWS_SQMI	PCTNOTALLOW	ARR_0506	ADW05	ADW06	ADW00	ADW01	DV05	DV06
11	31	24	222	206	.00961538461538462	11	005600	1	1821	1897	30350	31616.7	1355	87	266	123	10	22	299	633	247	169	249	192	247	.06	1904.61067346	150264.544954	110010056001	0	3.04	23.25	32.03	10.21	46.9	53.1	1.76	0	-.8	-1.05	3	0	0	0	1	6	1	0	2	2	54	85	4	0	214	28	2	5	1201	7	3	0	12	0	0	.0200320512820513	.511806699615596	1	.5	.5	3004.15599034073	2300	16.6666666666667	100	0	33.3333333333333	16.6666666666667	33.3333333333333	2300	33.3333333333333	50	0	2	1	1	15	8	12	56	428	142	0	0	16.6666666666667	0	231	3	3	2	8	4	4
12	419	389	2395	2822	.0303234501347709	11	005800	1	1470	1593	4200	4551.4	741	203	491	62	26	70	43	168	338	284	285	256	234	.35	4111.14367113	910714.524493	110010058001	0	4.21	31.36	46.44	17.75	52.18	47.82	6.53	0	-.57	-.71	13	3	0	0	7	112	7	7	12	78	212	199	61	1	2608	404	45	74	1032	113	14	5	45	1	0	.19743935309973	.143537414965986	12.5	7.5	10	12014.6716118895	1831.42857142857	20	320	20	34.2857142857143	20	222.857142857143	1831.42857142857	185.714285714286	37.1428571428571	14.2857142857143	16	10	14	194	84	178	1066	5217	1121	0	0	20	0	2014	36	57	69	80	60	62
13	23	27	80	101	.0253164556962025	11	005701	1	1400	1342	35000	33550	993	115	238	56	4	3	1052	249	40	15	20	17	14	.04	1552.98598531	112800.112576	110010057011	0	64.06	53.09	4.28	3.78	41.93	58.07	.5	0	.66	-2.29	0	0	0	0	0	8	0	0	0	7	15	32	5	0	90	25	2	6	127	7	0	1	4	0	0	.0886075949367089	.929285714285714	0	0	.5	4730.05107440722	1675	0	200	0	0	0	175	1675	125	0	0	1	0	1	16	4	10	34	181	37	0	0	0	0	90	3	0	4	7	5	5
14	13	12	55	79	.023489932885906	11	005701	5	1090	1019	21800	20380	864	60	141	49	4	8	705	231	62	21	26	33	30	.05	1490.55696992	123460.521919	110010057015	0	50.24	43.51	5.21	11	42.66	57.34	1.1	0	.36	-2.21	1	0	0	0	2	2	2	0	0	0	27	31	4	1	67	12	0	2	234	4	2	4	7	0	0	.124161073825503	.858715596330275	0	0	0	2302.96016678409	2020	40	40	0	0	40	0	2020	100	20	0	1	0	2	3	3	6	23	134	47	0	0	40	0	40	1	0	4	0	4	4
15	94	88	332	377	.0945273631840796	11	005900	2	489	563	2573.7	2963.2	32	415	15	22	27	42	15	44	52	67	91	151	60	.19	3228.07786296	484448.749682	110010059002	0	19.39	52.33	48.05	5.26	49.69	50.31	14.11	0	1.03	-1.03	2	1	1	0	2	4	2	0	0	3	43	76	34	0	354	91	9	5	470	5	1	1	57	1	1	.0497512437810945	.120654396728016	1	.5	3	1633.70205706278	1136.84210526316	10.5263157894737	21.0526315789474	0	0	10.5263157894737	15.7894736842105	1136.84210526316	57.8947368421053	10.5263157894737	5.26315789473684	5	3	8	28	14	44	144	709	161	0	0	10.5263157894737	0	3302	9	15	7	3	31	36
17	18	16	77	99	.142857142857143	11	005702	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1	2261.17485057	266718.982002	110010057021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	1	3	17	11	1	0	88	17	2	2	0	0	0	2	4	0	0	.678571428571429	0	.5	.5	.5	2429.37389935324	1770	10	60	0	10	10	30	1770	130	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	171	2	2	5	0	0	2
18	12	16	77	53	.0663265306122449	11	005701	2	1871	1971	31183.3	32850	1389	136	274	96	4	6	1217	406	80	38	47	73	35	.06	1765.67793983	158538.291804	110010057012	0	63.41	59.53	4.17	13.2	45.43	54.57	.53	0	.72	-2.32	1	0	0	0	0	2	0	0	0	0	13	16	1	0	65	14	0	2	156	0	0	1	13	0	0	.0255102040816327	.867450561197221	.5	.5	0	2786.44396470978	2166.66666666667	0	33.3333333333333	0	0	0	0	2166.66666666667	33.3333333333333	16.6666666666667	33.3333333333333	0	0	0	5	2	2	11	130	57	0	0	0	0	43	1	0	2	2	1	1
19	126	127	215	247	.0427236315086782	11	006100	1	2300	2172	11500	10860	740	1357	59	125	67	153	49	404	403	386	519	319	73	.2	3683.6247067	531657.944757	110010061001	0	3.81	12.74	46.74	10.95	48.3	51.7	9.57	0	-.38	-.65	7	2	0	0	2	3	2	0	0	1	120	140	32	2	231	126	6	14	685	1	1	1	32	1	0	.0253671562082777	.19695652173913	1.5	.5	1.5	587.716922327978	880	10	15	0	0	10	5	880	135	35	0	10	6	9	27	76	104	75	462	181	0	0	10	0	1139	4	5	13	14	29	35
20	63	38	112	103	.217616580310881	11	006201	1	144	167	423.5	491.2	136	7	0	1	1	1	5	5	18	34	70	10	114	.34	3936.55569224	854481.37901	110010062011	0	11.76	8.72	23.49	22.5	65.97	34.03	1.39	0	-.87	-.14	1	0	0	0	2	16	2	0	0	7	33	68	12	1	108	50	12	7	94	5	4	0	42	0	0	.145077720207254	.0694444444444444	7.5	7.5	.5	1130.5066031665	967.647058823529	5.88235294117647	47.0588235294118	0	0	5.88235294117647	20.5882352941176	967.647058823529	55.8823529411765	2.94117647058824	0	4	2	3	25	19	26	45	215	47	0	0	5.88235294117647	0	243	10	13	7	7	15	8
21	90	64	219	197	.00898472596585804	11	006301	1	3822	3716	25480	24773.3	1433	2112	84	169	129	306	81	307	517	694	979	809	220	.15	2718.93165892	374472.788915	110010063011	0	7.32	15.35	56.34	9.6	46.1	53.9	11.38	0	-.23	.19	2	0	0	0	0	0	0	0	0	0	56	62	36	0	208	77	10	6	1093	1	0	0	10	0	0	.00269541778975741	.101517530088959	2	.5	4	464.957072637962	566.666666666667	0	0	0	0	0	0	566.666666666667	73.3333333333333	13.3333333333333	0	10	8	9	45	17	32	106	416	129	0	0	0	0	145	16	14	11	2	36	36
