OBJECTID	UIDIS05	UIDIS06	MPDDIS05	MPDDIS06	VACANTPERCENT	STATE_FIPS	TRACT	BLKGRP	POP2000	POP2004	POP00_SQMI	POP04_SQMI	WHITE	BLACK	ASIAN	HISPANIC	AGE_UNDER5	AGE_5_17	AGE_18_21	AGE_22_29	AGE_30_39	AGE_40_49	AGE_50_64	AGE_65_UP	VACANT	SQMI	SHAPE_LENG	SHAPE_AREA	STFID	PSA	UNEMPL	POV	SAMEHOUSE	PROFMAN	MALE	FEMALE	YOUNGPOP	YOUNGUNEMP	CONCDIS	RESSTAB	PROSOCIAL	METRO_BG	PUBHOUSPT	REC_BG	OFFPREM_BG	ONPREM_BG	STORE_BG	NIGHT_BG	TAVERN_BG	REST_BG	PHYSDIS0506	PHYSDIS0203	AVGDV	SCH_BG	AVGMPDDIS	AVGUIDISOR	AVGADW0506	AVGADW0001	RESIDENTIALCOUNT	RETAILCOUNT	MOTELHOTELCOUNT	RECREATIONCOUNT	VACANTCOUNT	METRODUMMY	PUBHOUSINGDUMMY	COMRETAILPERCENT	RATE18_29	ADWWEEKEND	ADWNIGHTS	ADWWEEKNIGHT	INVMILEDIST	STREETLIGHTDENSI	OFF_SQMI	ON_SQMI	NIGHT_SQMI	TAVERN_SQMI	STORE_SQMI	REST_SQMI	STLIGHT_SQMI	BUSSTOP_SQMI	PROSO_SQMI	HOMLESS_SQMI	DVWEEKEND	DVENDNIGHT	DVWEEKNIGHT	UIWEEKNIGH	UIENDNIGHT	UIWEEKEND	MPDWEEKNIG	MPDWENDNIG	MPDWEEKEND	NO_SINGLES	NOTALLOWS_SQMI	ALLOWS_SQMI	PCTNOTALLOW	ARR_0506	ADW05	ADW06	ADW00	ADW01	DV05	DV06
113	34	31	99	82	.00520833333333333	11	002102	5	600	576	20000	19200	19	545	1	41	44	101	28	48	71	103	98	107	23	.03	1151.33207024	81273.517402	110010021025	407	5.84	3.23	63.92	11.03	45.67	54.33	24.17	0	-.13	.82	1	0	0	0	0	0	0	0	0	0	77	105	16	0	90	32	3	4	190	0	0	0	1	0	0	0	.126666666666667	0	0	1	377.353175074812	1533.33333333333	0	0	0	0	0	0	1533.33333333333	133.333333333333	33.3333333333333	0	5	2	5	10	8	17	31	181	45	0	0	0	0	91	3	2	3	5	14	19
114	22	33	100	92	0	11	002202	3	877	814	21925	20350	20	810	0	39	53	151	37	73	116	144	138	165	30	.04	1297.26912826	105014.780077	110010022023	407	4.81	11.36	71.86	12.63	44.13	55.87	23.26	0	-.18	1.14	0	0	0	0	0	0	0	0	0	0	171	268	12	0	96	28	4	2	306	0	0	0	0	0	0	0	.125427594070696	1	.5	.5	334.382737032634	1975	0	0	0	0	0	0	1975	25	0	0	4	2	2	9	6	12	34	192	61	0	0	0	0	98	5	4	0	3	13	12
115	34	36	120	82	0	11	002201	1	1283	1215	21383.3	20250	47	1098	6	158	60	224	82	111	158	205	184	259	15	.06	1522.36662794	144506.577933	110010022011	407	6.49	12.39	68.74	8.67	43.57	56.43	22.14	0	-.18	1.16	0	0	0	0	0	0	0	0	0	0	323	359	24	0	101	35	6	4	437	0	0	0	0	0	0	0	.150428682774747	.5	0	1.5	382.53388296917	2150	0	0	0	0	0	0	2150	33.3333333333333	0	0	2	2	8	14	7	19	42	202	67	0	0	0	0	103	8	5	3	5	25	24
116	17	26	103	72	.00431034482758621	11	002201	4	895	863	22375	21575	52	740	8	145	59	170	44	82	115	135	126	164	11	.04	1243.45934173	96290.4254575	110010022014	407	5.75	21.65	57.33	4.86	47.04	52.96	25.59	0	.16	.43	2	0	0	0	2	0	2	0	0	0	107	142	13	0	88	22	7	3	214	12	0	0	1	0	0	.0517241379310345	.140782122905028	1.5	1	1.5	667.369562288822	2025	50	0	0	0	50	0	2025	75	50	0	2	2	2	4	13	21	33	175	54	0	0	50	0	178	6	8	5	1	13	13
117	19	25	54	60	.003584229390681	11	004001	3	1442	1547	28840	30940	1252	72	51	117	36	35	6	303	485	230	257	90	28	.05	1535.2941471	143435.282491	110010040013	307	.86	4.66	38.07	13.39	49.31	50.69	4.92	0	-1.01	-.44	0	0	0	0	0	0	0	0	0	0	48	40	0	0	57	22	0	0	831	1	0	0	3	0	0	.002389486260454	.214285714285714	0	0	0	1999.67055104421	1800	0	0	0	0	0	0	1800	40	0	0	0	0	0	3	0	13	13	114	51	0	0	0	0	12	0	0	0	0	1	0
118	85	76	218	266	.00477326968973747	11	004001	1	1343	1337	44766.7	44566.7	1100	71	77	131	28	38	18	426	408	186	180	59	34	.03	1425.65421196	88537.835093	110010040011	0	.64	7.57	34.3	11.79	51.45	48.55	4.91	0	-.96	-.73	1	0	0	1	3	7	3	0	1	6	46	44	8	0	242	80	2	2	398	8	4	1	2	0	0	.035799522673031	.33060312732688	1	1	0	5754.47516580731	2033.33333333333	100	233.333333333333	0	33.3333333333333	100	200	2033.33333333333	133.333333333333	33.3333333333333	33.3333333333333	2	2	2	27	28	56	80	484	183	2	66.6666666666667	33.3333333333333	66.6666666666667	91	3	4	1	2	5	12
119	16	13	57	56	0	11	004002	1	706	690	35300	34500	541	84	32	99	18	23	11	212	211	89	87	55	12	.02	947.749342389	42390.5203845	110010040021	0	0	3.71	32.18	30.3	51.56	48.44	5.81	0	-1.02	-.86	0	0	0	0	1	13	1	0	2	11	62	26	0	0	56	14	12	14	234	27	0	0	0	0	0	.174825174825175	.31586402266289	6	6	1.5	13822.297226667	1500	50	650	0	100	50	550	1500	150	0	0	0	0	0	5	10	10	17	113	46	0	0	50	0	306	23	10	12	17	0	1
120	34	32	108	112	.0290771175726928	11	004100	1	1812	1901	12080	12673.3	1574	75	86	132	32	64	16	304	463	276	407	250	80	.15	3274.17262569	404574.66212	110010041001	307	1.67	2.99	34.9	15.97	47.96	52.04	5.3	0	-1.11	-.52	8	0	0	0	1	4	1	0	0	2	67	72	3	3	110	33	1	2	709	2	4	3	23	0	0	.0126422250316056	.176600441501104	.5	.5	0	1406.12102405174	1166.66666666667	6.66666666666667	26.6666666666667	0	0	6.66666666666667	13.3333333333333	1166.66666666667	26.6666666666667	53.3333333333333	13.3333333333333	2	1	0	11	8	22	43	220	72	0	0	6.66666666666667	0	108	0	0	2	3	3	3
121	34	37	165	142	.00390117035110533	11	004002	2	2072	1877	34533.3	31283.3	1461	258	183	218	49	88	27	574	643	292	273	126	59	.06	1652.26625874	153687.03912	110010040022	0	3.55	5.59	35.77	14.13	52.7	47.3	6.61	0	-.87	-.77	2	0	0	0	3	11	3	0	0	9	59	60	6	1	154	36	5	6	729	19	1	1	3	0	0	.035110533159948	.290057915057915	1.5	1	.5	3621.46545541018	1783.33333333333	50	183.333333333333	0	0	50	150	1783.33333333333	83.3333333333333	33.3333333333333	0	2	2	0	17	13	19	49	307	132	0	0	50	0	93	4	6	5	6	7	5
122	11	8	38	41	.0158730158730159	11	004001	2	689	709	34450	35450	598	39	26	41	14	12	3	117	203	102	155	83	17	.02	1031.02844263	43861.8990115	110010040012	307	0	1.94	32.69	20.47	50.51	49.49	3.77	0	-1.14	-.46	0	0	0	0	0	0	0	0	0	0	16	15	2	0	40	10	0	0	237	1	1	0	4	0	0	.00793650793650794	.174165457184325	0	0	0	2601.84397576958	1750	0	0	0	0	0	0	1750	150	0	0	1	0	0	6	3	3	9	79	28	0	0	0	0	5	1	0	0	0	2	1
123	13	21	54	54	.105882352941176	11	004100	3	758	726	4737.5	4537.5	647	23	77	43	16	47	12	101	107	132	223	120	41	.16	3380.07082531	412354.957483	110010041003	307	0	5.31	40.34	10.96	48.68	51.32	8.31	0	-1.07	-.05	1	0	0	0	0	0	0	0	0	0	72	60	1	0	54	17	1	1	278	0	0	4	45	0	0	.00705882352941176	.149076517150396	0	0	.5	1368.63089109095	1068.75	0	0	0	0	0	0	1068.75	62.5	6.25	0	0	0	0	6	2	9	15	108	36	0	0	0	0	86	1	0	2	0	2	0
124	89	111	347	296	.00274725274725275	11	004202	1	2889	3429	36112.5	42862.5	2207	213	276	272	48	82	47	866	882	414	400	150	85	.08	2102.86024894	208388.123872	110010042021	0	2.4	7.87	32.76	15.84	53.89	46.11	4.5	0	-.96	-.97	1	0	0	0	3	19	3	2	2	13	171	125	13	0	322	100	6	4	959	40	2	2	3	0	0	.0934065934065934	.316026306680512	2	1	.5	4129.86424562726	2687.5	37.5	237.5	25	25	37.5	162.5	2687.5	87.5	12.5	0	3	2	0	31	23	46	105	643	174	1	12.5	25	33.3333333333333	119	4	4	6	1	14	12
125	44	46	222	248	.024	11	005500	1	925	936	15416.7	15600	723	69	90	53	16	24	16	253	215	118	162	121	19	.06	1861.98087541	155026.555308	110010055001	0	1.24	9.59	38.93	11.89	52	48	4.32	0	-.99	-.8	2	1	0	0	2	22	2	0	2	17	99	54	4	0	235	45	6	4	281	28	4	4	9	1	0	.178666666666667	.290810810810811	1.5	.5	1	6864.7742893401	2350	33.3333333333333	366.666666666667	0	33.3333333333333	33.3333333333333	283.333333333333	2350	250	33.3333333333333	0	1	0	0	15	6	17	109	470	100	0	0	33.3333333333333	0	147	5	4	5	4	5	3
126	10	14	35	39	.0671785028790787	11	000400	2	919	945	2356.4	2423.1	741	54	76	78	31	95	23	136	129	135	223	147	34	.39	4904.74635797	998142.988537	110010004002	205	.59	4.39	36.02	18.5	47.55	52.45	13.71	0	-1.07	-.21	2	0	0	1	2	6	2	1	0	4	112	129	1	0	37	12	0	0	419	6	1	1	35	0	0	.0633397312859885	.173014145810664	0	0	0	645.245457495374	671.794871794872	5.12820512820513	15.3846153846154	2.56410256410256	0	5.12820512820513	10.2564102564103	671.794871794872	20.5128205128205	5.12820512820513	2.56410256410256	0	0	0	4	2	3	13	74	20	1	2.56410256410256	2.56410256410256	50	69	0	0	1	0	1	1
127	37	23	114	116	.00895522388059702	11	000501	2	1148	1087	9566.7	9058.3	1009	37	63	59	11	16	16	325	378	146	151	105	47	.12	3441.69947761	316043.089803	110010005012	204	3.06	5.89	24.75	15.88	43.64	56.36	2.35	0	-1.01	-1.62	1	0	0	0	0	10	0	0	0	8	13	38	6	1	115	30	1	4	322	6	2	0	3	0	0	.0238805970149254	.297038327526132	.5	.5	.5	2442.07132014482	433.333333333333	0	83.3333333333333	0	0	0	66.6666666666667	433.333333333333	83.3333333333333	8.33333333333333	0	2	2	1	15	6	12	47	230	52	0	0	0	0	71	3	1	2	5	6	5
128	17	8	37	48	.0363036303630363	11	000100	1	1297	1254	4183.9	4045.2	1180	28	60	58	50	99	14	196	290	213	274	161	54	.31	4330.57947048	811149.85881	110010001001	205	2.53	5.08	50	13.17	45.57	54.43	11.49	0	-.97	.07	2	0	0	0	2	3	2	0	0	3	87	72	3	1	42	12	2	1	500	39	0	2	22	0	0	.066006600660066	.161912104857363	0	0	.5	922.813827929766	551.612903225806	6.45161290322581	9.67741935483871	0	0	6.45161290322581	9.67741935483871	551.612903225806	25.8064516129032	6.45161290322581	0	2	0	0	2	2	7	11	85	34	1	3.2258064516129	3.2258064516129	50	41	0	3	1	1	5	1
129	22	28	63	78	.0240384615384615	11	000202	2	760	722	15200	14440	728	1	23	29	38	57	51	125	112	116	170	91	31	.05	1505.97342611	135540.745647	110010002022	206	1.65	16.58	31.83	22.01	47.63	52.37	12.5	0	-.88	-.26	4	0	0	1	0	3	0	0	0	2	64	75	3	2	70	25	0	1	327	39	0	2	10	0	0	.0985576923076923	.231578947368421	0	0	0	1599.25097549498	1640	0	60	0	0	0	40	1640	160	80	0	0	0	1	7	8	17	17	141	66	0	0	0	0	22	0	0	2	0	3	3
130	24	39	126	127	.0269230769230769	11	000100	5	1110	1077	13875	13462.5	1035	7	42	45	51	85	13	151	209	151	288	162	28	.08	1874.8960864	194329.617431	110010001005	206	0	2.16	42.11	21.66	46.49	53.51	12.25	0	-1.15	.07	4	0	0	0	3	0	3	0	0	0	79	81	3	0	126	32	0	2	447	32	0	0	14	0	0	.0634615384615385	.147747747747748	0	0	0	1786.70281626249	1162.5	37.5	0	0	0	37.5	0	1162.5	87.5	50	0	1	0	2	9	4	13	46	253	82	0	0	37.5	0	62	1	0	3	2	4	2
131	33	28	228	190	.0132827324478178	11	000202	3	946	886	15766.7	14766.7	841	24	56	47	29	27	203	238	149	92	155	53	27	.06	1615.53891372	154464.436784	110010002023	206	0	19.74	42.8	11.58	49.05	50.95	5.92	0	-.92	-.49	1	0	0	0	3	21	3	0	5	15	60	79	3	0	209	30	7	8	360	76	1	0	7	0	0	.201138519924099	.466173361522199	4	3.5	.5	3808.41041204155	1200	50	350	0	83.3333333333333	50	250	1200	100	16.6666666666667	0	1	0	1	12	8	14	35	418	167	0	0	50	0	291	2	2	10	7	3	3
132	102	107	610	637	.0352941176470588	11	000100	4	943	1009	2050	2193.5	864	32	31	32	29	64	22	198	176	138	207	109	65	.46	6570.18534086	1162965.64451	110010001004	206	2.5	6.2	37.42	10.43	47.83	52.17	9.86	0	-1	-.27	4	0	0	0	1	37	1	0	2	32	83	61	12	0	624	104	8	12	527	119	5	0	27	0	0	.219607843137255	.233297985153765	3	3	4.5	1124.76382528728	304.347826086957	2.17391304347826	80.4347826086956	0	4.34782608695652	2.17391304347826	69.5652173913043	304.347826086957	23.9130434782609	8.69565217391304	2.17391304347826	2	1	2	37	41	63	231	1247	444	0	0	2.17391304347826	0	435	15	11	8	15	13	11
133	68	50	224	236	.0481283422459893	11	005600	2	4125	4042	34375	33683.3	3366	272	360	240	20	31	1511	526	251	261	588	937	244	.12	4184.17777375	324766.700863	110010056002	0	5.22	25.4	30.77	8.1	41.75	58.25	1.24	0	-.72	-.82	3	1	0	0	2	7	2	0	0	6	46	75	12	0	230	59	2	4	333	2	4	1	18	1	0	.0267379679144385	.493818181818182	.5	0	0	3051.66002707187	2233.33333333333	16.6666666666667	58.3333333333333	0	0	16.6666666666667	50	2233.33333333333	58.3333333333333	25	25	2	2	1	16	6	22	72	460	131	1	8.33333333333333	8.33333333333333	50	113	2	3	0	7	7	16
134	35	23	108	95	.0146520146520147	11	001302	1	2973	2760	8494.3	7885.7	2436	246	179	191	59	128	46	521	586	428	607	598	104	.35	4228.65608068	912224.142175	110010013021	201	2.57	4.94	49.09	13.74	41.34	58.66	6.29	0	-1.01	-.18	1	0	0	0	2	5	2	0	0	4	41	62	7	1	102	29	2	2	1056	7	0	1	16	0	0	.0100732600732601	.190716448032291	0	0	0	387.581571063199	185.714285714286	5.71428571428571	14.2857142857143	0	0	5.71428571428571	11.4285714285714	185.714285714286	17.1428571428571	2.85714285714286	0	0	0	0	9	5	9	28	203	68	0	0	5.71428571428571	0	39	0	2	3	0	5	9
135	25	34	20	37	.0899653979238754	11	002600	3	961	1026	3003.1	3206.3	336	545	20	44	36	105	20	99	140	157	210	194	14	.32	4931.5696179	842275.679229	110010026003	406	4.33	7.2	69.37	13.36	45.47	54.53	14.67	0	-.63	.79	2	0	0	0	0	0	0	0	0	0	115	120	2	0	28	30	1	0	249	0	0	0	26	0	0	0	.123829344432882	.5	0	0	472.343344219117	537.5	0	0	0	0	0	0	537.5	6.25	6.25	0	0	0	0	16	2	3	9	57	16	0	0	0	0	89	1	2	1	0	2	1
136	13	11	41	35	.104347826086957	11	000600	1	1099	1013	13737.5	12662.5	965	35	43	101	47	62	9	181	272	160	220	148	24	.08	2116.49489794	214878.470956	110010006001	204	0	2.82	52.56	8.24	43.49	56.51	9.92	0	-1.08	.28	0	0	0	0	0	0	0	0	0	0	57	61	7	0	38	12	2	0	180	0	0	0	24	0	0	0	.172884440400364	0	0	0	546.618344962166	1200	0	0	0	0	0	0	1200	75	0	0	2	0	2	3	0	3	12	76	25	0	0	0	0	21	1	0	0	1	4	10
137	11	19	32	15	.0265486725663717	11	001302	2	3321	3328	12300	12325.9	2874	128	183	219	54	100	27	875	924	488	454	399	179	.27	4022.6320134	680056.018699	110010013022	204	1.68	3.69	37.16	12.05	40.74	59.26	4.64	0	-1.04	-.97	1	1	0	0	3	16	3	0	5	11	50	57	3	0	24	15	2	4	954	26	0	0	27	1	0	.0265486725663717	.271604938271605	1	1	0	989.247730189858	392.592592592593	11.1111111111111	59.2592592592593	0	18.5185185185185	11.1111111111111	40.7407407407407	392.592592592593	48.1481481481481	3.7037037037037	3.7037037037037	1	0	1	8	2	7	5	47	20	0	0	11.1111111111111	0	93	2	0	4	3	3	3
138	75	76	238	325	.0188679245283019	11	002701	1	3336	3265	25661.5	25115.4	1387	1074	188	696	176	263	110	871	852	464	380	220	59	.13	3341.62923839	323574.724488	110010027011	410	4.96	14.84	42.95	11.6	49.85	50.15	13.16	0	-.52	-.77	1	0	0	0	1	1	1	0	0	1	73	219	32	1	282	76	9	2	563	0	0	0	11	0	0	0	.294064748201439	3	2.5	2.5	727.539888783293	1038.46153846154	7.69230769230769	7.69230769230769	0	0	7.69230769230769	7.69230769230769	1038.46153846154	46.1538461538462	7.69230769230769	0	8	6	8	22	12	26	113	563	160	0	0	7.69230769230769	0	95	9	9	3	2	27	36
139	33	24	79	82	.0372492836676218	11	000600	2	1098	1050	6100	5833.3	922	50	59	95	43	133	22	168	184	167	241	140	16	.18	2864.4675582	458474.914678	110010006002	204	.92	7.91	51.82	13.87	44.44	55.56	16.03	0	-1.02	.26	3	0	0	0	0	8	0	0	2	6	163	181	2	2	80	28	1	2	303	5	0	2	13	0	0	.0286532951289398	.17304189435337	.5	.5	0	820.600017684435	850	0	44.4444444444444	0	11.1111111111111	0	33.3333333333333	850	11.1111111111111	16.6666666666667	0	1	0	0	14	8	13	28	161	44	0	0	0	0	42	3	2	0	3	3	1
140	10	11	38	28	.0164948453608247	11	000501	1	1617	1571	6468	6284	1374	97	92	98	36	47	159	491	412	179	187	106	38	.25	4416.99401615	628262.197179	110010005011	204	3.9	6.01	25.74	13.66	41.43	58.57	5.13	0	-1	-1.15	1	1	0	0	2	12	2	0	0	12	36	87	1	0	33	10	2	1	454	14	0	0	8	1	0	.0391752577319588	.401978973407545	0	0	.5	1002.04543759495	480	8	48	0	0	8	48	480	20	4	16	1	0	0	3	4	8	6	66	37	0	0	8	0	47	1	0	0	2	1	1
141	17	37	46	55	.0025974025974026	11	002702	3	1317	1311	16462.5	16387.5	887	274	57	122	69	97	27	286	351	208	172	107	22	.08	3021.7618834	234101.453123	110010027023	410	4.81	5.7	40.4	12.46	52.7	47.3	12.6	0	-.83	-.15	0	0	0	0	0	0	0	0	0	0	79	216	4	0	50	27	2	0	383	0	0	0	1	0	0	0	.237661351556568	.5	.5	0	856.968245624327	1487.5	0	0	0	0	0	0	1487.5	100	0	0	1	0	1	6	9	12	10	101	54	0	0	0	0	18	1	4	0	0	7	2
142	13	16	30	49	.0267857142857143	11	000502	4	1324	1272	18914.3	18171.4	1185	39	51	65	42	56	13	264	355	221	267	106	27	.07	2252.38047249	176042.996338	110010005024	204	1.07	2.14	45.22	14.91	41.69	58.31	7.4	0	-1.05	-.21	0	0	0	0	2	1	2	0	0	1	37	79	4	0	40	14	0	1	527	0	0	0	15	0	0	.00714285714285714	.209214501510574	0	0	.5	953.413815910491	1628.57142857143	28.5714285714286	14.2857142857143	0	0	28.5714285714286	14.2857142857143	1628.57142857143	71.4285714285714	0	0	0	0	0	7	1	3	7	79	34	1	14.2857142857143	14.2857142857143	50	10	0	1	1	1	6	3
143	10	24	65	48	.00613496932515337	11	000502	3	1788	2157	11175	13481.3	1572	44	71	157	70	166	31	331	343	271	361	215	28	.16	3728.67753373	405398.759603	110010005023	204	1.52	6.1	48.43	18.17	47.04	52.96	13.2	0	-1.01	.02	3	0	0	0	0	0	0	0	0	0	207	155	4	2	56	17	0	0	469	0	2	0	3	0	0	.00408997955010225	.202460850111857	0	0	0	679.922022473752	1562.5	0	0	0	0	0	0	1562.5	62.5	18.75	0	1	1	2	12	1	6	20	113	50	0	0	0	0	15	1	0	1	0	4	4
144	33	52	97	88	.0192771084337349	11	003900	2	2021	2234	18372.7	20309.1	1391	288	60	396	54	98	43	515	567	338	285	121	63	.11	2745.6104127	280000.90247	110010039002	0	3.11	7.88	36.8	11.29	50.52	49.48	7.52	0	-.88	-.56	0	0	0	0	1	1	1	0	0	1	101	90	4	0	92	42	2	2	399	4	0	0	8	0	0	.00963855421686747	.276100940128649	1	.5	0	1661.85127335015	790.909090909091	9.09090909090909	9.09090909090909	0	0	9.09090909090909	9.09090909090909	790.909090909091	27.2727272727273	0	0	2	2	2	21	14	27	35	185	67	0	0	9.09090909090909	0	39	3	1	2	1	5	3
145	47	47	140	128	.00757575757575758	11	002501	3	1401	1486	15566.7	16511.1	269	924	9	290	73	202	59	158	214	257	204	234	26	.09	2061.77993136	227708.628075	110010025013	406	7.62	8.53	54.07	16.64	50.68	49.32	19.63	0	-.48	.71	8	0	0	0	2	2	2	0	1	1	239	169	11	1	134	47	4	6	454	27	0	0	4	0	0	.053030303030303	.154889364739472	.5	.5	1	634.22223949215	2022.22222222222	22.2222222222222	22.2222222222222	0	11.1111111111111	22.2222222222222	11.1111111111111	2022.22222222222	66.6666666666667	88.8888888888889	22.2222222222222	1	0	5	19	9	21	58	268	97	0	0	22.2222222222222	0	215	3	7	8	3	10	12
146	63	71	217	131	.0288065843621399	11	002501	1	991	1014	8258.3	8450	58	707	7	244	77	158	46	86	165	139	143	177	37	.12	2464.62024591	315700.180414	110010025011	409	9.98	19.67	62.29	9.42	45.21	54.79	23.71	0	-.19	.19	8	0	0	1	2	1	2	0	0	1	160	224	18	4	174	67	9	9	187	13	0	0	7	0	0	.0864197530864197	.133198789101917	2.5	2	2.5	615.070624611524	1100	16.6666666666667	8.33333333333333	0	0	16.6666666666667	8.33333333333333	1100	41.6666666666667	66.6666666666667	8.33333333333333	4	4	4	38	9	35	94	348	93	0	0	16.6666666666667	0	225	9	7	13	5	11	24
147	232	203	660	649	.0140845070422535	11	002502	3	3369	3420	28075	28500	479	1609	29	1570	278	578	204	543	579	485	381	321	65	.12	2300.43589439	311688.607597	110010025023	409	8.41	18.88	51.88	9.73	50.55	49.45	25.41	0	-.15	-.19	9	0	0	0	4	3	4	0	1	2	422	429	48	1	654	218	24	21	574	42	0	1	9	0	0	.0672926447574335	.221727515583259	7	5	4.5	4757.73806438349	1600	33.3333333333333	25	0	8.33333333333333	33.3333333333333	16.6666666666667	1600	75	75	8.33333333333333	15	11	8	97	43	88	319	1309	348	0	0	33.3333333333333	0	849	23	16	24	18	50	46
148	251	213	898	978	.0285171102661597	11	002801	1	3629	3521	51842.9	50300	536	1842	81	1414	329	613	172	640	693	494	408	280	159	.07	1725.32212861	171896.129193	110010028011	411	11.61	29.84	49.27	10.76	49.02	50.98	25.96	0	.32	-.59	4	0	0	0	2	4	2	0	0	4	171	274	66	0	938	232	30	22	480	17	0	0	15	0	0	.0361216730038023	.223753100027556	10	6.5	5	2121.72731138963	1957.14285714286	28.5714285714286	57.1428571428571	0	0	28.5714285714286	57.1428571428571	1957.14285714286	57.1428571428571	57.1428571428571	28.5714285714286	17	6	11	102	39	97	394	1876	499	0	0	28.5714285714286	0	542	28	46	30	15	66	66
149	146	121	323	381	.0140562248995984	11	002900	2	2264	2121	32342.9	30300	318	1017	44	1045	191	386	132	359	405	342	262	187	101	.07	1878.85326875	170235.349357	110010029002	411	14.77	14.55	59.18	10.36	54.51	45.49	25.49	0	-.13	.23	7	0	0	0	7	2	7	0	0	2	174	351	37	0	352	134	12	14	421	26	0	0	7	0	0	.0742971887550201	.216872791519435	2.5	2	1	1641.77172333556	2014.28571428571	100	28.5714285714286	0	0	100	28.5714285714286	2014.28571428571	114.285714285714	100	14.2857142857143	11	8	5	43	25	58	141	704	211	0	0	100	0	349	7	9	17	12	34	40
150	52	63	121	197	.0157894736842105	11	002701	2	2406	2348	48120	46960	797	663	215	932	138	279	124	499	528	323	278	237	62	.05	1742.28840916	127824.070009	110010027012	410	7.67	19.69	44.43	15.32	52	48	17.33	0	-.51	-.67	2	0	0	0	1	0	1	0	0	0	53	185	15	1	159	58	4	3	366	1	0	0	6	0	0	.00526315789473684	.258935993349958	1	1	1.5	1168.96639864881	1580	20	0	0	0	20	0	1580	80	40	20	6	4	2	24	14	30	50	318	108	1	20	0	100	44	6	4	4	2	14	16
151	276	277	1008	848	.0787746170678337	11	002802	2	4700	4643	52222.2	51588.9	973	1524	337	2398	402	713	316	849	909	612	500	399	169	.09	2098.08488177	229945.000042	110010028022	0	5.65	33.03	35.56	10.23	53.13	46.87	23.72	3.6	-.04	-1.24	17	1	1	0	2	0	2	0	0	0	119	242	60	9	928	276	29	31	379	15	0	0	36	1	1	.0328227571115974	.247872340425532	6.5	2.5	5.5	1572.64604156318	1433.33333333333	22.2222222222222	0	0	0	22.2222222222222	0	1433.33333333333	155.555555555556	188.888888888889	88.8888888888889	16	10	10	108	44	103	427	1856	418	0	0	22.2222222222222	0	650	34	42	41	21	59	61
152	63	68	171	183	.00519930675909879	11	002702	2	2433	2427	34757.1	34671.4	1315	543	82	608	123	192	74	536	584	351	364	209	28	.07	2537.30975517	192846.869617	110010027022	410	3.55	16.02	46.11	9.9	53.84	46.16	12.95	0	-.64	-.25	1	0	1	0	1	0	1	0	0	0	156	274	7	0	177	66	4	4	562	8	0	0	3	0	1	.0138648180242634	.250719276613235	.5	.5	1.5	1623.52156744784	2114.28571428571	14.2857142857143	0	0	0	14.2857142857143	0	2114.28571428571	85.7142857142857	14.2857142857143	0	2	2	0	40	14	29	57	354	136	1	14.2857142857143	0	100	42	3	3	4	5	4	10
153	51	87	357	396	.0299145299145299	11	002702	1	2302	2385	76733.3	79500	889	397	258	1347	153	280	168	584	484	323	231	79	53	.03	1180.16090204	77470.30469	110010027021	410	8.7	27.86	31.45	10.49	56.21	43.79	18.81	0	-.3	-1.44	5	0	0	0	6	8	6	0	1	7	55	56	20	1	376	69	16	12	172	38	0	1	7	0	0	.175213675213675	.326672458731538	6	3.5	2.5	27027.8010501498	1733.33333333333	200	266.666666666667	0	33.3333333333333	200	233.333333333333	1733.33333333333	333.333333333333	166.666666666667	33.3333333333333	8	6	4	29	15	32	133	753	220	5	166.666666666667	33.3333333333333	83.3333333333333	164	10	16	14	11	18	23
154	102	150	311	330	.0309278350515464	11	003000	1	2829	3248	35362.5	40600	373	1930	27	663	234	627	143	449	478	399	340	159	191	.08	1853.70349886	209652.684781	110010030001	0	17.31	37.75	46.3	6.29	48.89	51.11	30.43	0	.68	-.62	4	0	0	0	0	3	0	1	0	2	177	215	35	2	320	126	22	18	445	8	0	0	15	0	0	.0206185567010309	.209261223047013	5	4	7.5	1295.17503089363	1612.5	0	37.5	12.5	0	0	25	1612.5	100	50	12.5	7	2	9	54	31	53	126	641	207	0	0	0	0	297	16	18	17	19	25	45
155	76	80	188	210	.0211480362537764	11	003900	1	2622	2505	52440	50100	1468	628	184	480	75	149	48	874	680	359	301	136	32	.05	1837.56429892	120973.935445	110010039001	0	3.21	8.81	34.51	8.4	50.31	49.69	8.54	0	-.73	-1.21	0	0	0	0	2	3	2	0	1	2	91	79	9	0	199	78	5	6	282	21	3	0	7	0	0	.0876132930513595	.35163996948894	2.5	2	1	3234.87275853245	2080	40	60	0	20	40	40	2080	60	0	60	0	0	2	21	21	43	70	398	112	0	0	40	0	135	4	4	4	7	13	5
156	210	203	670	746	.0312035661218425	11	003600	1	3915	3720	32625	31000	517	2427	124	924	269	589	227	657	708	608	471	386	367	.12	2298.64512437	305520.994508	110010036001	0	10.69	27.94	43.86	6.5	50.5	49.5	21.92	0	.22	-.77	3	0	0	0	2	0	2	0	0	0	185	306	62	2	708	206	20	28	624	3	0	0	21	0	0	.00594353640416048	.225798212005109	4.5	3.5	5	1310.3187975099	1450	16.6666666666667	0	0	0	16.6666666666667	0	1450	41.6666666666667	25	16.6666666666667	14	9	15	87	59	93	337	1416	409	1	8.33333333333333	8.33333333333333	50	335	30	18	29	27	51	74
